"id_muni2015","name_muni2015_en","name_muni2015_jp","totalpop1980","totalpop1981","totalpop1982","totalpop1983","totalpop1984","totalpop1985","totalpop1986","totalpop1987","totalpop1988","totalpop1989","totalpop1990","totalpop1991","totalpop1992","totalpop1993","totalpop1994","totalpop1995","totalpop1996","totalpop1997","totalpop1998","totalpop1999","totalpop2000","totalpop2001","totalpop2002","totalpop2003","totalpop2004","totalpop2005","totalpop2006","totalpop2007","totalpop2008","totalpop2009","totalpop2010","totalpop2011","totalpop2012","totalpop2013","totalpop2014","totalpop2015","totalpop2016","totalpop2017","totalpop2018","totalpop2019","totalpop2020","totalpop2021","totalpop2022","totalpop2023","totalpop2024","totalpop2025","totalpop2026","totalpop2027","totalpop2028","totalpop2029","totalpop2030","totalpop2031","totalpop2032","totalpop2033","totalpop2034","totalpop2035","totalpop2036","totalpop2037","totalpop2038","totalpop2039","totalpop2040","totalpop2041","totalpop2042","totalpop2043","totalpop2044","totalpop2045","totalpop2046","totalpop2047","totalpop2048","totalpop2049","totalpop2050"
1216,"Ashibetsu-shi, Hokkaido","北海道 芦別市",32946,32360,31774,31189,30603,30017,29029,28041,27054,26066,25078,24649,24219,23790,23360,22931,22550,22169,21788,21407,21026,20601,20175,19750,19324,18899,18445,17991,17536,17082,16628,16238,15847,15457,15066,14676,14252,13828,13403,12979,12555,12178,11801,11425,11048,10671,10364,10057,9751,9444,9137,8856,8574,8293,8011,7730,7481,7231,6982,6732,6483,6269,6055,5842,5628,5414,5231,5048,4864,4681,4498
1217,"Ebetsu-shi, Hokkaido","北海道 江別市",86349,87145,87941,88736,89532,90328,91703,93077,94452,95826,97201,100860,104519,108177,111836,115495,117171,118848,120524,122201,123877,124222,124567,124911,125256,125601,125225,124849,124474,124098,123722,123105,122488,121870,121253,120636,120720,120804,120888,120972,121056,120535,120013,119492,118970,118449,117722,116994,116267,115539,114812,113966,113119,112273,111426,110580,109554,108527,107501,106474,105448,104338,103228,102117,101007,99897,98804,97711,96619,95526,94433
1218,"Akabira-shi, Hokkaido","北海道 赤平市",25467,24903,24338,23774,23209,22645,21998,21351,20703,20056,19409,18997,18586,18174,17763,17351,17031,16712,16392,16073,15753,15483,15212,14942,14671,14401,14048,13695,13343,12990,12637,12331,12024,11718,11411,11105,10824,10542,10261,9979,9698,9425,9152,8878,8605,8332,8103,7874,7644,7415,7186,6978,6770,6561,6353,6145,5957,5770,5582,5395,5207,5039,4870,4702,4533,4365,4221,4076,3932,3787,3643
1219,"Mombetsu-shi, Hokkaido","北海道 紋別市",33860,33521,33181,32842,32502,32163,31946,31729,31512,31295,31078,30890,30702,30513,30325,30137,29805,29473,29140,28808,28476,28107,27738,27370,27001,26632,26256,25879,25503,25126,24750,24422,24094,23765,23437,23109,22730,22351,21973,21594,21215,20874,20533,20192,19851,19510,19164,18819,18473,18128,17782,17441,17101,16760,16420,16079,15752,15425,15097,14770,14443,14128,13813,13497,13182,12867,12569,12271,11973,11675,11377
1220,"Shibetsu-shi, Hokkaido","北海道 士別市",32103,31774,31445,31117,30788,30459,30000,29540,29081,28621,28162,27810,27458,27107,26755,26403,26121,25838,25556,25273,24991,24675,24359,24043,23727,23411,23086,22761,22437,22112,21787,21412,21038,20663,20289,19914,19503,19092,18680,18269,17858,17425,16993,16560,16128,15695,15342,14989,14635,14282,13929,13594,13258,12923,12587,12252,11943,11635,11326,11018,10709,10426,10143,9859,9576,9293,9037,8781,8524,8268,8012
1221,"Nayoro-shi, Hokkaido","北海道 名寄市",42222,41991,41761,41530,41300,41069,40294,39519,38744,37969,37194,36688,36182,35676,35170,34664,34397,34130,33862,33595,33328,32988,32648,32308,31968,31628,31421,31213,31006,30798,30591,30282,29974,29665,29357,29048,28695,28342,27988,27635,27282,26866,26450,26034,25618,25202,24877,24552,24226,23901,23576,23250,22924,22597,22271,21945,21630,21316,21001,20687,20372,20055,19737,19420,19102,18785,18482,18180,17877,17575,17272
1222,"Mikasa-shi, Hokkaido","北海道 三笠市",23319,22957,22596,22234,21873,21511,20619,19726,18834,17941,17049,16662,16276,15889,15503,15116,14805,14494,14183,13872,13561,13234,12907,12581,12254,11927,11586,11245,10903,10562,10221,9992,9763,9534,9305,9076,8869,8662,8454,8247,8040,7834,7629,7423,7218,7012,6838,6664,6489,6315,6141,5987,5833,5678,5524,5370,5237,5103,4970,4836,4703,4587,4471,4354,4238,4122,4021,3921,3820,3720,3619
1223,"Nemuro-shi, Hokkaido","北海道 根室市",42880,42439,41998,41557,41116,40675,39922,39170,38417,37665,36912,36516,36121,35725,35330,34934,34577,34220,33864,33507,33150,32760,32371,31981,31592,31202,30802,30402,30001,29601,29201,28744,28287,27831,27374,26917,26461,26005,25548,25092,24636,24172,23708,23245,22781,22317,21883,21450,21016,20583,20149,19728,19308,18887,18467,18046,17641,17236,16832,16427,16022,15641,15260,14879,14498,14117,13762,13408,13053,12699,12344
1224,"Chitose-shi, Hokkaido","北海道 千歳市",66788,68152,69517,70881,72246,73610,74677,75744,76812,77879,78946,80130,81314,82498,83682,84866,85672,86478,87285,88091,88897,89405,89913,90421,90929,91437,91870,92304,92737,93171,93604,94013,94422,94830,95239,95648,96108,96569,97029,97490,97950,97919,97889,97858,97828,97797,97559,97321,97083,96845,96607,96276,95944,95613,95281,94950,94532,94114,93697,93279,92861,92335,91809,91283,90757,90231,89652,89073,88493,87914,87335
1225,"Takikawa-shi, Hokkaido","北海道 滝川市",51192,51354,51517,51679,51842,52004,51521,51039,50556,50074,49591,49358,49125,48891,48658,48425,48112,47799,47487,47174,46861,46601,46341,46082,45822,45562,45084,44605,44127,43648,43170,42774,42379,41983,41588,41192,40852,40511,40171,39830,39490,38952,38415,37877,37340,36802,36347,35892,35437,34982,34527,34065,33603,33142,32680,32218,31754,31290,30827,30363,29899,29436,28974,28511,28049,27586,27142,26697,26253,25808,25364
1226,"Sunagawa-shi, Hokkaido","北海道 砂川市",25355,25250,25145,25039,24934,24829,24494,24158,23823,23487,23152,22866,22580,22294,22008,21722,21592,21462,21332,21202,21072,20871,20670,20470,20269,20068,19866,19663,19461,19258,19056,18784,18511,18239,17966,17694,17452,17211,16969,16728,16486,16172,15858,15544,15230,14916,14660,14403,14147,13890,13634,13387,13140,12894,12647,12400,12161,11922,11684,11445,11206,10981,10756,10530,10305,10080,9869,9657,9446,9234,9023
1227,"Utashinai-shi, Hokkaido","北海道 歌志内市",10178,10065,9952,9838,9725,9612,9345,9079,8812,8546,8279,7997,7714,7432,7149,6867,6682,6497,6311,6126,5941,5797,5653,5509,5365,5221,5054,4887,4721,4554,4387,4227,4066,3906,3745,3585,3466,3347,3227,3108,2989,2880,2771,2661,2552,2443,2359,2274,2190,2105,2021,1949,1877,1806,1734,1662,1598,1534,1471,1407,1343,1289,1235,1180,1126,1072,1025,978,932,885,838
1228,"Fukagawa-shi, Hokkaido","北海道 深川市",35376,35067,34759,34450,34142,33833,33201,32568,31936,31303,30671,30291,29911,29530,29150,28770,28532,28294,28055,27817,27579,27231,26883,26534,26186,25838,25412,24986,24561,24135,23709,23349,22989,22629,22269,21909,21535,21161,20787,20413,20039,19596,19153,18710,18267,17824,17460,17097,16733,16370,16006,15661,15316,14971,14626,14281,13960,13639,13317,12996,12675,12382,12089,11795,11502,11209,10943,10677,10410,10144,9878
1229,"Furano-shi, Hokkaido","北海道 富良野市",28499,28374,28250,28125,28001,27876,27634,27392,27149,26907,26665,26541,26417,26294,26170,26046,26059,26072,26086,26099,26112,25905,25698,25490,25283,25076,24913,24749,24586,24422,24259,23994,23730,23465,23201,22936,22575,22214,21853,21492,21131,20646,20161,19677,19192,18707,18408,18110,17811,17513,17214,16916,16617,16319,16020,15722,15436,15149,14863,14576,14290,14012,13734,13457,13179,12901,12636,12370,12105,11839,11574
1230,"Noboribetsu-shi, Hokkaido","北海道 登別市",56503,56876,57250,57623,57997,58370,57810,57250,56691,56131,55571,55835,56099,56364,56628,56892,56466,56040,55613,55187,54761,54436,54111,53785,53460,53135,52813,52491,52170,51848,51526,51146,50766,50385,50005,49625,48978,48331,47685,47038,46391,45552,44713,43873,43034,42195,41586,40977,40368,39759,39150,38512,37875,37237,36600,35962,35324,34685,34047,33408,32770,32166,31561,30957,30352,29748,29191,28634,28077,27520,26963
1231,"Eniwa-shi, Hokkaido","北海道 恵庭市",42911,43990,45069,46147,47226,48305,49767,51229,52691,54153,55615,56962,58309,59657,61004,62351,62929,63506,64084,64661,65239,65714,66189,66664,67139,67614,67968,68322,68676,69030,69384,69448,69511,69575,69638,69702,69828,69954,70079,70205,70331,70138,69945,69753,69560,69367,69105,68843,68580,68318,68056,67709,67363,67016,66670,66323,65904,65485,65067,64648,64229,63764,63300,62835,62371,61906,61421,60937,60452,59968,59483
1233,"Date-shi, Hokkaido","北海道 伊達市",36309,36432,36554,36677,36799,36922,36868,36814,36760,36706,36652,36651,36650,36649,36648,36647,36745,36844,36942,37041,37139,37124,37110,37095,37081,37066,36908,36751,36593,36436,36278,36021,35765,35508,35252,34995,34561,34127,33694,33260,32826,32229,31633,31036,30440,29843,29437,29031,28625,28219,27813,27408,27002,26597,26191,25786,25381,24975,24570,24164,23759,23349,22939,22529,22119,21709,21320,20930,20541,20151,19762
1234,"Kitahiroshima-shi, Hokkaido","北海道 北広島市",34148,35489,36830,38171,39512,40853,42234,43615,44996,46377,47758,48914,50070,51225,52381,53537,54376,55215,56053,56892,57731,58320,58909,59499,60088,60677,60612,60547,60483,60418,60353,60095,59837,59580,59322,59064,58885,58707,58528,58350,58171,57767,57364,56960,56557,56153,55713,55272,54832,54391,53951,53488,53025,52561,52098,51635,51119,50604,50088,49573,49057,48512,47968,47423,46879,46334,45803,45271,44740,44208,43677
1235,"Ishikari-shi, Hokkaido","北海道 石狩市",40783,42229,43676,45122,46569,48015,49041,50066,51092,52117,53143,54056,54968,55881,56793,57706,58112,58517,58923,59328,59734,59808,59882,59956,60030,60104,59973,59842,59711,59580,59449,59046,58644,58241,57839,57436,57323,57209,57096,56982,56869,56579,56288,55998,55707,55417,54932,54448,53963,53479,52994,52470,51946,51423,50899,50375,49818,49261,48703,48146,47589,47044,46499,45955,45410,44865,44365,43865,43365,42865,42365
1236,"Hokuto-shi, Hokkaido","北海道 北斗市",39096,39245,39394,39543,39692,39841,39821,39801,39781,39761,39741,40428,41115,41803,42490,43177,43902,44628,45353,46079,46804,47054,47305,47555,47806,48056,48051,48046,48042,48037,48032,47704,47375,47047,46718,46390,45972,45555,45137,44720,44302,43646,42990,42334,41678,41022,40513,40005,39496,38988,38479,37951,37423,36896,36368,35840,35294,34747,34201,33654,33108,32539,31970,31401,30832,30263,29682,29102,28521,27941,27360
1303,"Ishikarishinkokyoku, Tobetsu-cho, Hokkaido","北海道 石狩振興局 当別町",17316,17154,16992,16831,16669,16507,16371,16234,16098,15961,15825,16594,17364,18133,18903,19672,19893,20114,20336,20557,20778,20619,20460,20300,20141,19982,19739,19496,19252,19009,18766,18468,18171,17873,17576,17278,17006,16733,16461,16188,15916,15629,15342,15054,14767,14480,14275,14071,13866,13662,13457,13247,13037,12827,12617,12407,12202,11997,11791,11586,11381,11151,10921,10691,10461,10231,10006,9781,9556,9331,9106
1304,"Ishikarishinkokyoku, Shinshinotsu-mura, Hokkaido","北海道 石狩振興局 新篠津村",4144,4130,4116,4102,4088,4074,4021,3969,3916,3864,3811,3848,3884,3921,3957,3994,3983,3972,3962,3951,3940,3899,3859,3818,3778,3737,3693,3648,3604,3559,3515,3478,3441,3403,3366,3329,3272,3215,3158,3101,3044,2993,2942,2892,2841,2790,2748,2706,2664,2622,2580,2535,2490,2444,2399,2354,2310,2267,2223,2180,2136,2095,2054,2013,1972,1931,1888,1846,1803,1761,1718
1331,"Oshimasogoshinkokyoku, Matsumae-cho, Hokkaido","北海道 渡島総合振興局 松前町",17524,17222,16921,16619,16318,16016,15522,15028,14534,14040,13546,13267,12988,12709,12430,12151,11942,11734,11525,11317,11108,10911,10713,10516,10318,10121,9846,9572,9297,9023,8748,8466,8184,7901,7619,7337,7122,6906,6691,6475,6260,6070,5880,5689,5499,5309,5142,4976,4809,4643,4476,4321,4167,4012,3858,3703,3564,3426,3287,3149,3010,2893,2777,2660,2544,2427,2329,2232,2134,2037,1939
1332,"Oshimasogoshinkokyoku, Fukushima-cho, Hokkaido","北海道 渡島総合振興局 福島町",11613,11322,11031,10741,10450,10159,9749,9340,8930,8521,8111,7975,7839,7702,7566,7430,7303,7176,7049,6922,6795,6615,6436,6256,6077,5897,5740,5584,5427,5271,5114,4976,4837,4699,4560,4422,4296,4171,4045,3920,3794,3684,3575,3465,3356,3246,3156,3066,2975,2885,2795,2708,2621,2534,2447,2360,2280,2200,2119,2039,1959,1888,1817,1745,1674,1603,1541,1479,1417,1355,1293
1333,"Oshimasogoshinkokyoku, Shiriuchi-cho, Hokkaido","北海道 渡島総合振興局 知内町",7363,7366,7370,7373,7377,7380,7181,6981,6782,6582,6383,6336,6290,6243,6197,6150,6086,6023,5959,5896,5832,5755,5678,5601,5524,5447,5372,5298,5223,5149,5074,4990,4906,4821,4737,4653,4556,4459,4361,4264,4167,4076,3985,3893,3802,3711,3636,3561,3486,3411,3336,3261,3186,3110,3035,2960,2888,2816,2744,2672,2600,2533,2466,2398,2331,2264,2201,2138,2075,2012,1949
1334,"Oshimasogoshinkokyoku, Kikonai-cho, Hokkaido","北海道 渡島総合振興局 木古内町",9514,9394,9275,9155,9036,8916,8698,8480,8262,8044,7826,7695,7564,7433,7302,7171,7070,6969,6867,6766,6665,6537,6409,6280,6152,6024,5887,5751,5614,5478,5341,5182,5023,4865,4706,4547,4404,4261,4118,3975,3832,3728,3624,3520,3416,3312,3214,3116,3018,2920,2822,2733,2644,2555,2466,2377,2295,2213,2130,2048,1966,1893,1821,1748,1676,1603,1541,1480,1418,1357,1295
1337,"Oshimasogoshinkokyoku, Nanae-cho, Hokkaido","北海道 渡島総合振興局 七飯町",21267,21535,21803,22071,22339,22607,22878,23149,23421,23692,23963,24578,25194,25809,26425,27040,27303,27566,27828,28091,28354,28368,28382,28396,28410,28424,28432,28440,28447,28455,28463,28394,28326,28257,28189,28120,28033,27946,27860,27773,27686,27500,27313,27127,26940,26754,26537,26320,26103,25886,25669,25415,25161,24907,24653,24399,24107,23814,23522,23229,22937,22617,22298,21978,21659,21339,21012,20686,20359,20033,19706
1343,"Oshimasogoshinkokyoku, Shikabe-cho, Hokkaido","北海道 渡島総合振興局 鹿部町",5011,5030,5049,5069,5088,5107,5081,5056,5030,5005,4979,4948,4916,4885,4853,4822,4839,4856,4873,4890,4907,4909,4912,4914,4917,4919,4889,4858,4828,4797,4767,4659,4551,4442,4334,4226,4133,4040,3946,3853,3760,3684,3608,3532,3456,3380,3312,3244,3175,3107,3039,2970,2901,2832,2763,2694,2627,2560,2493,2426,2359,2299,2238,2178,2117,2057,2001,1945,1890,1834,1778
1345,"Oshimasogoshinkokyoku, Mori-machi, Hokkaido","北海道 渡島総合振興局 森町",23467,23377,23287,23197,23107,23017,22842,22667,22492,22317,22142,21915,21688,21460,21233,21006,20851,20697,20542,20388,20233,20016,19799,19583,19366,19149,18891,18633,18375,18117,17859,17476,17094,16711,16329,15946,15624,15303,14981,14660,14338,13982,13626,13271,12915,12559,12283,12007,11730,11454,11178,10913,10648,10384,10119,9854,9603,9352,9102,8851,8600,8364,8129,7893,7658,7422,7208,6994,6781,6567,6353
1346,"Oshimasogoshinkokyoku, Yakumo-cho, Hokkaido","北海道 渡島総合振興局 八雲町",26359,26211,26064,25916,25769,25621,25253,24885,24517,24149,23781,23488,23195,22901,22608,22315,22140,21964,21789,21613,21438,21177,20915,20654,20392,20131,19884,19637,19390,19143,18896,18567,18238,17910,17581,17252,16967,16682,16396,16111,15826,15572,15317,15063,14808,14554,14299,14044,13788,13533,13278,13029,12779,12530,12280,12031,11781,11532,11282,11033,10783,10538,10292,10047,9801,9556,9321,9086,8852,8617,8382
1347,"Oshimasogoshinkokyoku, Oshamambe-cho, Hokkaido","北海道 渡島総合振興局 長万部町",11004,10854,10703,10553,10402,10252,10027,9802,9577,9352,9127,9063,8999,8935,8871,8807,8652,8497,8342,8187,8032,7826,7620,7415,7209,7003,6880,6756,6633,6509,6386,6294,6202,6110,6018,5926,5763,5599,5436,5272,5109,5018,4926,4835,4743,4652,4549,4445,4342,4238,4135,4039,3942,3846,3749,3653,3567,3481,3395,3309,3223,3143,3063,2984,2904,2824,2750,2676,2602,2528,2454
1361,"Hiyamashinkokyoku, Esashi-cho, Hokkaido","北海道 檜山振興局 江差町",13930,13807,13683,13560,13436,13313,13097,12881,12666,12450,12234,12047,11861,11674,11488,11301,11233,11164,11096,11027,10959,10793,10628,10462,10297,10131,9906,9680,9455,9229,9004,8853,8702,8550,8399,8248,8084,7920,7756,7592,7428,7283,7137,6992,6846,6701,6554,6407,6259,6112,5965,5824,5683,5543,5402,5261,5131,5002,4872,4743,4613,4491,4369,4247,4125,4003,3891,3780,3668,3557,3445
1362,"Hiyamashinkokyoku, Kaminokuni-cho, Hokkaido","北海道 檜山振興局 上ノ国町",8803,8747,8691,8634,8578,8522,8367,8212,8057,7902,7747,7656,7565,7474,7383,7292,7264,7236,7208,7180,7152,7005,6858,6711,6564,6417,6219,6021,5824,5626,5428,5318,5207,5097,4986,4876,4762,4648,4534,4420,4306,4190,4074,3958,3842,3726,3627,3528,3430,3331,3232,3137,3042,2948,2853,2758,2675,2592,2508,2425,2342,2268,2195,2121,2048,1974,1907,1840,1773,1706,1639
1363,"Hiyamashinkokyoku, Assabu-cho, Hokkaido","北海道 檜山振興局 厚沢部町",6862,6756,6649,6543,6436,6330,6215,6100,5985,5870,5755,5681,5607,5533,5459,5385,5329,5273,5217,5161,5105,5039,4973,4907,4841,4775,4702,4629,4555,4482,4409,4337,4265,4193,4121,4049,3958,3866,3775,3683,3592,3516,3440,3364,3288,3212,3140,3068,2995,2923,2851,2786,2720,2655,2589,2524,2464,2404,2343,2283,2223,2164,2105,2045,1986,1927,1874,1822,1769,1717,1664
1364,"Hiyamashinkokyoku, Otobe-cho, Hokkaido","北海道 檜山振興局 乙部町",7031,6969,6906,6844,6781,6719,6577,6436,6294,6153,6011,5893,5775,5658,5540,5422,5366,5310,5255,5199,5143,5078,5012,4947,4881,4816,4734,4653,4571,4490,4408,4308,4207,4107,4006,3906,3805,3705,3604,3504,3403,3313,3222,3132,3041,2951,2869,2788,2706,2625,2543,2469,2395,2322,2248,2174,2108,2043,1977,1912,1846,1788,1731,1673,1616,1558,1507,1455,1404,1352,1301
